	CUST_NO	XCOORD	YCOORD	DEMAND	READY_TIME	DUE_TIME	SERVICE_TIME	PROFIT
88	89	50.0	35.0	0.0	426.0	484.0	0.0	18.771400718081555
89	90	1.0	26.0	0.0	709.0	745.0	0.0	3.037245235218687
90	91	40.0	15.0	0.0	95.0	141.0	0.0	13.635661120529988
91	92	46.0	46.0	0.0	547.0	603.0	0.0	13.073383196002847
92	93	36.0	37.0	0.0	436.0	462.0	0.0	25.136210830117754
93	94	27.0	41.0	0.0	467.0	515.0	0.0	17.88294663420439
94	95	49.0	5.0	0.0	651.0	682.0	0.0	32.69663377715938
95	96	4.0	5.0	0.0	152.0	244.0	0.0	5.396100526265679
96	97	0.0	12.0	0.0	169.0	229.0	0.0	7.46596010793476
97	98	7.0	23.0	0.0	245.0	317.0	0.0	19.72613172648254
98	99	28.0	13.0	0.0	98.0	196.0	0.0	28.534827164868663
99	100	1.0	40.0	0.0	783.0	826.0	0.0	39.92735678580145
